No,X1 transaction date,X2 house age,X3 distance to the nearest MRT station,X4 number of convenience stores,X5 latitude,X6 longitude,Y house price of unit area
1,2012.917,32.0,84.87882,10,24.98298,121.54024,37.9
8,2013.417,20.3,287.6025,6,24.98042,121.54228,46.7
12,2013.333,6.3,90.45606,9,24.97433,121.5431,58.1
17,2013.25,0.0,292.9978,6,24.97744,121.54458,70.1
20,2012.667,1.5,23.38284,7,24.96772,121.54102,47.7
22,2013.417,10.5,279.1726,7,24.97528,121.54541,51.6
24,2013.083,10.1,279.1726,7,24.97528,121.54541,47.9
28,2013.25,10.4,276.449,5,24.95593,121.53913,33.6
35,2012.75,15.4,205.367,7,24.98419,121.54243,55.1
40,2013.167,16.2,289.3248,5,24.98203,121.54348,46.2
55,2013.083,16.1,289.3248,5,24.98203,121.54348,51.7
58,2012.917,3.5,56.47425,7,24.95744,121.53711,53.5
62,2013.5,5.3,259.6607,6,24.97585,121.54516,63.2
66,2013.417,40.1,123.7429,8,24.97635,121.54329,44.3
67,2013.0,1.0,193.5845,6,24.96571,121.54089,50.7
68,2013.5,8.5,104.8101,5,24.96674,121.54067,56.8
71,2013.583,6.6,90.45606,9,24.97433,121.5431,59.0
83,2013.083,13.2,150.9347,7,24.96725,121.54252,48.1
91,2012.833,0.0,274.0144,1,24.9748,121.53059,45.4
95,2012.917,40.9,167.5989,5,24.9663,121.54026,41.0
96,2012.917,8.0,104.8101,5,24.96674,121.54067,51.8
97,2013.417,6.4,90.45606,9,24.97433,121.5431,59.5
99,2013.417,16.4,289.3248,5,24.98203,121.54348,51.0
100,2013.417,6.4,90.45606,9,24.97433,121.5431,62.2
102,2012.833,12.7,170.1289,1,24.97371,121.52984,32.9
103,2013.083,1.1,193.5845,6,24.96571,121.54089,54.4
104,2012.75,0.0,208.3905,6,24.95618,121.53844,45.7
106,2012.833,0.0,292.9978,6,24.97744,121.54458,71.0
107,2013.083,17.2,189.5181,8,24.97707,121.54308,47.1
111,2013.083,8.1,104.8101,5,24.96674,121.54067,51.6
112,2013.583,33.3,196.6172,7,24.97701,121.54224,39.4
115,2012.667,30.6,143.8383,8,24.98155,121.54142,53.3
120,2013.5,16.6,289.3248,5,24.98203,121.54348,59.6
124,2013.417,0.0,185.4296,0,24.9711,121.5317,45.5
125,2012.917,9.9,279.1726,7,24.97528,121.54541,57.4
126,2013.167,1.1,193.5845,6,24.96571,121.54089,48.6
129,2013.083,41.3,124.9912,6,24.96674,121.54039,60.7
130,2013.417,38.5,216.8329,7,24.98086,121.54162,41.0
135,2012.667,33.4,186.9686,6,24.96604,121.54211,42.2
141,2013.25,16.2,289.3248,5,24.98203,121.54348,51.4
147,2012.75,0.0,185.4296,0,24.9711,121.5317,52.2
150,2012.667,34.9,179.4538,8,24.97349,121.54245,39.7
151,2013.25,35.8,170.7311,7,24.96719,121.54269,48.5
161,2012.917,3.5,49.66105,8,24.95836,121.53756,57.8
164,2013.5,8.5,104.8101,5,24.96674,121.54067,55.5
165,2012.833,0.0,185.4296,0,24.9711,121.5317,55.2
167,2013.417,0.0,292.9978,6,24.97744,121.54458,73.6
173,2013.583,6.6,90.45606,9,24.97433,121.5431,58.1
178,2013.083,33.0,181.0766,9,24.97697,121.54262,42.0
182,2013.167,11.6,201.8939,8,24.98489,121.54121,55.9
189,2012.917,34.8,190.0392,8,24.97707,121.54312,44.3
193,2013.167,43.8,57.58945,7,24.9675,121.54069,42.7
198,2013.25,34.4,126.7286,8,24.96881,121.54089,48.2
199,2013.083,34.0,157.6052,7,24.96628,121.54196,39.1
204,2012.667,15.6,289.3248,5,24.98203,121.54348,46.1
210,2012.833,34.8,175.6294,8,24.97347,121.54271,40.9
212,2013.083,0.0,274.0144,1,24.9748,121.53059,43.5
214,2013.083,6.2,90.45606,9,24.97433,121.5431,58.0
221,2013.333,37.2,186.5101,9,24.97703,121.54265,78.3
226,2013.25,1.1,193.5845,6,24.96571,121.54089,49.0
228,2012.917,32.4,265.0609,8,24.98059,121.53986,40.2
236,2012.75,12.9,250.631,7,24.96606,121.54297,39.3
242,2013.5,13.7,250.631,7,24.96606,121.54297,41.4
244,2013.417,32.8,204.1705,8,24.98236,121.53923,48.2
253,2012.833,5.9,90.45606,9,24.97433,121.5431,52.7
259,2013.417,0.0,292.9978,6,24.97744,121.54458,63.3
263,2012.917,15.9,289.3248,5,24.98203,121.54348,53.0
271,2013.333,10.8,252.5822,1,24.9746,121.53046,117.5
274,2013.417,13.2,170.1289,1,24.97371,121.52984,29.3
276,2012.667,1.5,23.38284,7,24.96772,121.54102,49.7
279,2012.75,0.0,208.3905,6,24.95618,121.53844,44.0
281,2013.25,2.3,184.3302,6,24.96581,121.54086,45.4
287,2012.917,5.9,90.45606,9,24.97433,121.5431,56.3
290,2013.333,13.9,289.3248,5,24.98203,121.54348,44.5
292,2012.833,3.4,56.47425,7,24.95744,121.53711,54.4
300,2013.167,33.2,121.7262,10,24.98178,121.54059,46.1
301,2013.083,2.5,156.2442,4,24.96696,121.53992,36.9
306,2013.083,16.2,289.3248,5,24.98203,121.54348,55.0
307,2013.5,14.4,169.9803,1,24.97369,121.52979,50.2
309,2013.417,16.4,289.3248,5,24.98203,121.54348,53.0
314,2013.333,8.3,104.8101,5,24.96674,121.54067,42.8
317,2013.25,13.3,250.631,7,24.96606,121.54297,42.0
320,2013.25,34.6,272.6783,5,24.95562,121.53872,26.9
323,2013.0,12.9,187.4823,1,24.97388,121.52981,33.1
324,2013.417,28.6,197.1338,6,24.97631,121.54436,42.5
327,2013.5,4.1,56.47425,7,24.95744,121.53711,62.1
334,2012.75,7.8,104.8101,5,24.96674,121.54067,38.4
339,2012.917,31.5,258.186,9,24.96867,121.54331,36.3
341,2013.333,33.6,270.8895,0,24.97281,121.53265,42.9
343,2012.667,5.7,90.45606,9,24.97433,121.5431,53.5
346,2012.667,0.0,185.4296,0,24.9711,121.5317,37.9
349,2012.833,4.6,259.6607,6,24.97585,121.54516,53.7
350,2012.75,7.8,104.8101,5,24.96674,121.54067,47.0
357,2012.833,10.3,211.4473,1,24.97417,121.52999,45.3
359,2013.167,1.1,193.5845,6,24.96571,121.54089,45.1
361,2012.667,32.9,87.30222,10,24.983,121.54022,47.1
362,2013.083,41.4,281.205,8,24.97345,121.54093,63.3
364,2013.5,32.3,109.9455,10,24.98182,121.54086,48.0
371,2012.75,15.9,289.3248,5,24.98203,121.54348,42.1
373,2013.0,33.9,157.6052,7,24.96628,121.54196,41.5
374,2013.083,0.0,274.0144,1,24.9748,121.53059,52.2
378,2013.333,3.9,49.66105,8,24.95836,121.53756,56.8
380,2013.333,0.0,292.9978,6,24.97744,121.54458,69.7
381,2013.333,14.1,289.3248,5,24.98203,121.54348,53.3
382,2013.417,8.0,132.5469,9,24.98298,121.53981,47.3
386,2013.0,18.3,82.88643,10,24.983,121.54026,46.6
387,2012.833,0.0,185.4296,0,24.9711,121.5317,55.3
390,2013.25,40.9,122.3619,8,24.96756,121.5423,67.7
400,2012.917,12.7,170.1289,1,24.97371,121.52984,37.3
403,2012.833,12.7,187.4823,1,24.97388,121.52981,28.5
404,2012.667,30.9,161.942,9,24.98353,121.53966,39.7
